satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
1,Loyal Customer,47,Business travel,Business,2178,2,2,2,2,2,4,5,4,4,4,4,3,4,5,5,0.0
1,Loyal Customer,49,Business travel,Business,424,5,5,5,5,2,4,5,5,5,5,5,4,5,5,0,0.0
1,Loyal Customer,46,Business travel,Business,767,4,4,4,4,4,4,5,5,5,5,5,3,5,4,21,
0,disloyal Customer,49,Business travel,Eco Plus,1597,3,3,3,2,1,3,1,1,1,5,3,4,2,1,2,9.0
0,Loyal Customer,60,Business travel,Business,1487,3,4,2,4,4,4,3,3,3,3,3,2,3,4,0,17.0
1,Loyal Customer,14,Personal Travel,Eco,2557,0,4,0,4,5,5,5,2,2,2,2,3,2,4,0,5.0
1,Loyal Customer,43,Business travel,Business,3827,3,3,3,3,1,1,3,3,3,3,3,3,3,4,0,0.0
1,Loyal Customer,42,Business travel,Eco,2532,5,2,2,2,5,5,5,5,4,3,2,1,5,5,43,14.0
1,Loyal Customer,29,Personal Travel,Eco,2289,4,5,5,5,2,2,1,5,5,4,5,4,5,3,12,15.0
1,Loyal Customer,56,Business travel,Business,1905,3,3,3,3,2,4,4,4,4,5,4,3,4,5,2,2.0
1,Loyal Customer,57,Personal Travel,Eco,408,2,2,2,2,2,4,5,4,4,5,4,3,4,4,0,0.0
1,Loyal Customer,36,Business travel,Eco,1978,5,5,5,5,5,5,5,5,5,2,1,3,3,5,0,0.0
0,Loyal Customer,14,Business travel,Business,2023,3,4,4,4,3,3,3,3,1,2,3,3,4,3,23,8.0
1,Loyal Customer,38,Business travel,Business,254,2,2,2,2,3,5,4,5,5,5,5,5,5,4,0,8.0
0,Loyal Customer,14,Personal Travel,Eco,1310,3,0,4,5,5,4,5,5,3,3,5,4,5,5,0,12.0
1,disloyal Customer,21,Business travel,Business,1587,5,3,5,4,2,5,2,2,4,1,1,5,3,2,0,0.0
0,disloyal Customer,49,Business travel,Business,1523,2,3,3,4,5,2,5,5,5,4,5,3,4,5,0,15.0
1,Loyal Customer,47,Business travel,Business,1133,4,4,3,4,3,4,4,4,4,4,4,5,4,3,0,0.0
0,Loyal Customer,36,Business travel,Business,112,1,4,5,5,1,3,4,4,4,4,1,2,4,4,0,3.0
0,Loyal Customer,23,Personal Travel,Eco,1738,1,5,4,4,3,4,3,3,3,3,5,3,4,3,12,8.0
1,disloyal Customer,44,Business travel,Business,1226,5,5,5,2,3,5,3,3,3,3,4,4,5,3,0,0.0
1,disloyal Customer,23,Business travel,Eco,1532,0,2,0,3,3,0,4,3,3,5,1,5,4,3,81,76.0
1,Loyal Customer,38,Business travel,Business,3771,4,4,4,4,5,4,4,5,5,5,5,4,5,4,0,0.0
0,Loyal Customer,56,Business travel,Business,1862,2,3,3,3,2,3,2,2,2,2,2,2,2,1,0,33.0
1,Loyal Customer,19,Personal Travel,Eco,1706,4,1,4,3,2,4,2,2,2,2,3,4,4,2,41,42.0
0,Loyal Customer,29,Business travel,Eco Plus,2887,1,5,5,5,1,1,1,1,5,3,3,1,3,1,160,154.0
0,Loyal Customer,34,Business travel,Business,2476,3,2,2,2,5,3,4,3,3,2,3,4,3,1,16,9.0
1,disloyal Customer,37,Business travel,Business,2855,5,5,5,4,2,5,2,2,4,3,5,5,5,2,0,0.0
0,Loyal Customer,22,Personal Travel,Eco,1667,2,4,2,4,3,2,5,3,5,4,4,5,5,3,0,0.0
1,Loyal Customer,53,Business travel,Eco,1474,4,5,5,5,4,4,4,4,4,3,5,4,1,4,0,0.0
1,Loyal Customer,39,Business travel,Business,2155,5,5,5,5,4,5,4,5,5,5,5,4,5,3,0,0.0
0,Loyal Customer,42,Business travel,Business,2259,1,1,1,1,3,2,2,3,3,3,1,4,3,1,56,51.0
0,Loyal Customer,42,Personal Travel,Eco,1933,4,0,4,4,1,4,1,1,3,1,4,4,2,1,0,0.0
0,disloyal Customer,34,Business travel,Eco,1862,2,1,2,3,5,2,2,5,1,1,3,4,3,5,83,94.0
1,Loyal Customer,37,Business travel,Business,2621,3,3,3,3,5,5,5,3,4,5,5,5,5,5,27,14.0
1,Loyal Customer,41,Business travel,Business,340,1,1,1,1,3,5,5,5,5,5,5,5,5,3,0,0.0
0,Loyal Customer,50,Business travel,Eco,2090,2,2,2,2,3,2,3,3,4,4,3,1,2,3,0,0.0
0,disloyal Customer,23,Business travel,Business,2063,1,1,1,3,3,1,1,3,2,4,2,2,3,3,66,64.0
1,Loyal Customer,47,Business travel,Eco,904,3,2,2,2,5,1,5,3,3,3,3,3,3,3,0,0.0
0,Loyal Customer,19,Personal Travel,Eco,1211,2,4,2,3,3,2,3,3,3,3,4,5,5,3,14,9.0
0,Loyal Customer,37,Business travel,Eco,1965,3,4,4,4,3,3,3,3,1,3,3,1,3,3,20,15.0
1,Loyal Customer,26,Business travel,Business,1764,2,3,2,2,4,4,4,4,1,4,1,4,4,4,1,0.0
0,disloyal Customer,36,Business travel,Business,1394,2,2,2,4,1,2,1,1,1,1,2,3,3,1,0,0.0
0,disloyal Customer,26,Business travel,Eco,1813,3,4,3,5,2,3,2,2,4,1,2,5,5,2,0,0.0
0,Loyal Customer,19,Personal Travel,Eco,2822,4,4,4,3,1,4,4,1,3,4,4,4,4,1,2,0.0
1,Loyal Customer,55,Business travel,Eco,2164,4,2,2,2,4,4,4,4,5,4,5,5,4,4,0,0.0
1,disloyal Customer,38,Business travel,Eco,1940,4,0,4,3,5,4,4,5,3,5,2,4,5,5,10,0.0
0,disloyal Customer,22,Business travel,Eco,2122,3,0,3,4,2,3,2,2,4,5,2,5,4,2,0,2.0
1,Loyal Customer,22,Personal Travel,Eco,2028,5,4,5,5,3,5,3,3,4,4,5,4,4,3,0,0.0
1,Loyal Customer,45,Personal Travel,Eco,733,3,3,3,3,5,5,5,5,5,3,5,4,5,5,108,116.0
1,Loyal Customer,11,Personal Travel,Eco,2272,1,1,1,1,4,3,4,5,5,5,5,5,5,4,0,0.0
1,Loyal Customer,53,Business travel,Business,250,4,4,4,4,2,2,3,4,4,5,3,1,4,4,0,0.0
1,Loyal Customer,51,Business travel,Business,2069,3,5,3,3,5,4,5,4,4,4,4,4,4,5,0,0.0
0,Loyal Customer,55,Personal Travel,Eco,2549,3,5,3,2,4,3,4,4,4,3,4,4,4,4,0,0.0
0,Loyal Customer,42,Business travel,Eco,2608,2,3,3,3,2,2,2,4,2,4,4,2,3,2,122,195.0
0,Loyal Customer,65,Personal Travel,Eco,2265,4,5,4,1,3,4,3,3,5,3,5,5,5,3,0,0.0
1,Loyal Customer,32,Personal Travel,Eco,2714,3,3,4,3,2,4,4,5,5,5,5,5,5,5,19,37.0
1,Loyal Customer,52,Personal Travel,Eco,2242,0,5,1,3,5,5,4,3,3,1,3,5,3,3,0,0.0
0,Loyal Customer,49,Personal Travel,Eco,2360,4,5,4,1,4,4,5,4,3,5,5,5,4,4,5,0.0
1,Loyal Customer,48,Business travel,Business,3383,4,4,4,4,3,5,5,5,5,5,5,4,5,3,0,0.0
0,Loyal Customer,42,Business travel,Business,4011,2,3,3,3,2,4,3,2,2,2,2,1,2,2,0,0.0
0,disloyal Customer,15,Business travel,Eco,2001,1,0,0,4,3,0,3,3,4,5,4,1,3,3,11,6.0
1,Loyal Customer,45,Business travel,Business,1756,3,3,3,3,4,5,4,4,4,5,4,3,4,4,0,0.0
