Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
disloyal Customer,60,Business travel,Eco,2318,1,0,0,3,5,0,5,5,1,4,2,1,2,5,0,0.0,0
Loyal Customer,19,Personal Travel,Eco Plus,1622,4,1,4,2,1,4,1,1,1,4,2,2,3,1,70,60.0,1
Loyal Customer,48,Personal Travel,Eco,102,3,5,3,4,2,5,4,3,3,3,3,3,3,5,0,0.0,0
disloyal Customer,35,Business travel,Business,2084,2,1,1,3,4,1,4,4,4,5,5,4,4,4,0,0.0,0
Loyal Customer,53,Business travel,Eco,1819,1,5,5,5,1,1,1,1,2,5,3,3,3,1,8,0.0,0
Loyal Customer,21,Personal Travel,Eco,2172,4,4,4,4,4,5,4,5,5,5,5,5,5,3,3,0.0,1
Loyal Customer,46,Business travel,Business,2817,2,1,1,1,4,3,3,2,2,2,2,4,2,2,4,0.0,0
Loyal Customer,42,Business travel,Eco Plus,678,2,5,5,5,2,3,3,2,2,2,2,4,2,4,0,0.0,0
Loyal Customer,56,Personal Travel,Eco,1255,2,4,0,1,4,0,4,4,4,5,1,4,5,4,0,0.0,0
disloyal Customer,18,Business travel,Eco,2054,2,2,2,4,5,2,5,5,3,1,4,3,4,5,1,0.0,0
Loyal Customer,60,Personal Travel,Eco Plus,425,3,3,1,3,4,5,4,4,4,4,4,3,4,5,0,0.0,1
disloyal Customer,22,Business travel,Business,2303,5,5,5,3,4,5,3,4,4,2,4,3,4,4,0,0.0,1
Loyal Customer,9,Personal Travel,Eco,1172,2,5,3,1,5,3,5,5,5,2,5,5,5,5,0,0.0,0
Loyal Customer,24,Personal Travel,Eco,1839,3,4,4,2,4,4,4,4,5,2,4,3,5,4,0,11.0,0
disloyal Customer,21,Business travel,Eco,2390,4,4,4,4,1,4,1,1,1,4,5,2,4,1,12,64.0,1
disloyal Customer,24,Business travel,Business,1907,4,4,4,4,4,4,1,4,3,2,4,4,4,4,14,15.0,1
Loyal Customer,67,Personal Travel,Eco,82,2,2,2,2,4,4,4,4,5,4,5,4,4,4,0,0.0,1
Loyal Customer,18,Business travel,Eco,2855,4,5,3,3,4,3,2,4,1,1,4,2,4,4,5,0.0,0
Loyal Customer,69,Personal Travel,Eco,979,3,4,3,3,2,3,1,2,3,4,3,3,3,2,1,0.0,0
Loyal Customer,64,Personal Travel,Eco,2481,2,4,2,1,1,2,1,1,4,4,5,3,2,1,8,20.0,0
Loyal Customer,55,Personal Travel,Eco Plus,1765,1,1,1,3,5,1,5,5,4,3,3,3,2,5,6,3.0,0
Loyal Customer,47,Personal Travel,Eco,2248,1,4,1,1,5,1,3,5,5,2,5,5,5,5,0,0.0,0
disloyal Customer,21,Business travel,Eco,2527,4,4,4,1,4,4,4,4,5,5,4,4,4,4,6,0.0,1
Loyal Customer,57,Business travel,Eco,583,5,1,1,1,1,3,5,5,5,5,5,1,5,5,0,0.0,1
Loyal Customer,54,Business travel,Business,1558,3,2,2,2,3,2,3,3,3,3,3,3,3,4,0,19.0,0
